trial,step,original,complete,window,sups,size
1,5,2,2,115,1,100
1,12,1,1,115,1,100
1,8,8,8,115,1,100
1,6,18,18,115,1,100
1,4,25,25,115,1,100
1,11,21,21,115,1,100
1,13,28,31,115,1,100
1,40,5,5,115,1,100
1,43,2,2,115,1,100
1,17,31,31,115,1,100
1,28,21,21,115,1,100
1,38,16,16,115,1,100
1,7,48,48,115,1,100
1,3,57,57,115,1,100
1,14,46,46,115,1,100
1,22,42,42,115,1,100
1,50,15,15,115,1,100
1,53,13,13,115,1,100
1,48,19,19,115,1,100
1,24,47,47,115,1,100
1,15,17,56,115,1,100
1,16,57,57,115,1,100
1,61,13,13,115,1,100
1,31,49,49,115,1,100
1,18,64,64,115,1,100
1,30,55,55,115,1,100
1,9,82,82,115,1,100
1,10,84,84,115,1,100
1,23,71,71,115,1,100
1,1,94,94,115,1,100
1,20,76,76,115,1,100
1,62,17,33,115,1,100
1,21,8,77,115,1,100
1,26,56,73,115,1,100
1,92,5,5,115,1,100
1,70,31,31,115,1,100
1,90,12,12,115,1,100
1,49,57,57,115,1,100
1,78,29,29,115,1,100
1,95,15,15,115,1,100
1,44,69,69,115,1,100
1,29,89,89,115,1,100
1,19,90,100,115,1,100
1,63,53,53,115,1,100
1,69,48,48,115,1,100
1,82,36,36,115,1,100
1,58,63,63,115,1,100
1,71,49,49,115,1,100
1,98,25,25,115,1,100
1,103,5,22,115,1,100
1,35,94,94,115,1,100
1,115,12,12,115,1,100
1,117,11,11,115,1,100
1,32,68,100,115,1,100
1,57,80,80,115,1,100
1,25,45,113,115,1,100
1,56,85,85,115,1,100
1,112,27,27,115,1,100
1,114,21,25,115,1,100
1,83,57,57,115,1,100
1,59,87,87,115,1,100
1,101,43,43,115,1,100
1,100,45,45,115,1,100
1,47,20,102,115,1,100
1,87,53,60,115,1,100
1,34,91,117,115,1,100
1,51,100,100,115,1,100
1,137,5,15,115,1,100
1,67,86,86,115,1,100
1,27,85,129,115,1,100
1,93,64,64,115,1,100
1,2,69,163,115,1,100
1,86,25,76,115,1,100
1,33,29,134,115,1,100
1,76,89,89,115,1,100
1,68,97,97,115,1,100
1,42,69,126,115,1,100
1,37,51,132,115,1,100
1,36,71,133,115,1,100
1,66,48,101,115,1,100
1,65,24,103,115,1,100
1,99,73,73,115,1,100
1,72,100,100,115,1,100
1,124,29,50,115,1,100
1,41,83,137,115,1,100
1,108,71,71,115,1,100
1,110,35,73,115,1,100
1,159,24,24,115,1,100
1,163,25,25,115,1,100
1,143,45,45,115,1,100
1,164,26,26,115,1,100
1,134,19,57,115,1,100
1,45,39,150,115,1,100
1,88,31,106,115,1,100
1,127,67,67,115,1,100
