trial,step,original,complete,window,sups,size
1,3,4,4,115,0,100
1,6,3,3,115,0,100
1,8,3,3,115,0,100
1,7,8,8,115,0,100
1,4,12,12,115,0,100
1,11,5,5,115,0,100
1,15,4,4,115,0,100
1,14,6,6,115,0,100
1,1,19,19,115,0,100
1,17,6,6,115,0,100
1,9,13,13,115,0,100
1,19,5,5,115,0,100
1,24,1,1,115,0,100
1,5,20,20,115,0,100
1,20,5,5,115,0,100
1,12,15,15,115,0,100
1,10,17,17,115,0,100
1,13,13,13,115,0,100
1,18,10,10,115,0,100
1,16,11,18,115,0,100
1,25,8,8,115,0,100
1,28,8,8,115,0,100
1,31,6,6,115,0,100
1,32,5,5,115,0,100
1,22,15,15,115,0,100
1,37,1,1,115,0,100
1,21,19,19,115,0,100
1,2,19,38,115,0,100
1,27,13,13,115,0,100
1,33,8,8,115,0,100
1,30,11,11,115,0,100
1,36,5,5,115,0,100
1,34,10,10,115,0,100
1,23,7,21,115,0,100
1,29,16,16,115,0,100
1,26,20,20,115,0,100
1,35,11,11,115,0,100
1,38,12,12,115,0,100
1,42,10,10,115,0,100
1,40,13,13,115,0,100
1,44,9,9,115,0,100
1,50,4,4,115,0,100
1,48,6,6,115,0,100
1,45,12,12,115,0,100
1,55,3,3,115,0,100
1,46,12,12,115,0,100
1,41,18,18,115,0,100
1,47,12,12,115,0,100
1,57,5,5,115,0,100
1,49,13,13,115,0,100
1,39,17,24,115,0,100
1,52,12,12,115,0,100
1,61,1,1,115,0,100
1,60,5,5,115,0,100
1,58,7,7,115,0,100
1,43,19,19,115,0,100
1,66,1,1,115,0,100
1,56,11,11,115,0,100
1,51,18,18,115,0,100
1,68,2,2,115,0,100
1,54,17,17,115,0,100
1,53,19,19,115,0,100
1,63,11,11,115,0,100
1,62,13,13,115,0,100
1,69,7,7,115,0,100
1,72,5,5,115,0,100
1,59,19,19,115,0,100
1,71,7,7,115,0,100
1,77,2,2,115,0,100
1,65,14,14,115,0,100
1,64,18,18,115,0,100
1,76,7,7,115,0,100
1,70,16,16,115,0,100
1,67,19,19,115,0,100
1,75,11,11,115,0,100
1,74,12,12,115,0,100
1,78,11,11,115,0,100
1,73,17,17,115,0,100
1,80,11,11,115,0,100
1,85,7,7,115,0,100
1,82,10,10,115,0,100
1,79,13,13,115,0,100
1,89,3,3,115,0,100
1,84,14,14,115,0,100
1,88,10,10,115,0,100
1,96,4,4,115,0,100
1,81,20,20,115,0,100
1,98,3,3,115,0,100
1,87,14,14,115,0,100
1,100,2,2,115,0,100
1,86,16,16,115,0,100
1,90,14,14,115,0,100
1,92,7,13,115,0,100
1,93,14,14,115,0,100
1,105,2,2,115,0,100
1,97,12,12,115,0,100
1,101,9,9,115,0,100
1,91,20,20,115,0,100
1,111,1,1,115,0,100
1,104,8,8,115,0,100
1,94,20,20,115,0,100
1,99,15,15,115,0,100
1,113,2,2,115,0,100
1,103,2,13,115,0,100
1,83,15,33,115,0,100
1,106,13,13,115,0,100
1,118,1,1,115,0,100
1,102,18,18,115,0,100
1,108,12,12,115,0,100
1,112,9,9,115,0,100
1,115,6,6,115,0,100
1,121,2,2,115,0,100
1,117,6,6,115,0,100
1,95,8,29,115,0,100
1,107,17,17,115,0,100
1,110,15,15,115,0,100
1,120,5,5,115,0,100
1,125,2,2,115,0,100
1,126,1,1,115,0,100
1,109,19,19,115,0,100
1,114,18,18,115,0,100
1,127,7,7,115,0,100
1,133,2,2,115,0,100
1,129,7,7,115,0,100
1,119,17,17,115,0,100
1,131,6,6,115,0,100
1,128,10,10,115,0,100
1,138,1,1,115,0,100
1,124,15,15,115,0,100
1,122,18,18,115,0,100
1,139,2,2,115,0,100
1,134,10,10,115,0,100
1,135,10,10,115,0,100
1,146,1,1,115,0,100
1,132,15,15,115,0,100
1,148,1,1,115,0,100
1,147,2,2,115,0,100
1,116,17,33,115,0,100
1,130,20,20,115,0,100
1,141,11,11,115,0,100
1,152,1,1,115,0,100
1,136,18,18,115,0,100
1,143,7,11,115,0,100
1,154,1,1,115,0,100
1,144,12,12,115,0,100
1,155,1,1,115,0,100
1,149,10,10,115,0,100
1,140,19,19,115,0,100
1,145,15,15,115,0,100
1,137,7,24,115,0,100
1,159,3,3,115,0,100
1,142,20,20,115,0,100
1,157,5,5,115,0,100
1,158,6,6,115,0,100
1,123,15,41,115,0,100
1,151,14,14,115,0,100
1,150,16,16,115,0,100
1,166,1,1,115,0,100
1,153,17,17,115,0,100
1,156,14,14,115,0,100
1,169,2,2,115,0,100
1,162,9,9,115,0,100
1,164,8,8,115,0,100
1,173,2,2,115,0,100
1,161,14,14,115,0,100
1,160,16,16,115,0,100
1,167,10,10,115,0,100
1,171,8,8,115,0,100
1,174,5,5,115,0,100
1,172,7,7,115,0,100
1,176,3,3,115,0,100
1,163,17,17,115,0,100
1,170,12,12,115,0,100
1,165,17,17,115,0,100
1,175,8,8,115,0,100
1,179,4,4,115,0,100
1,180,6,6,115,0,100
1,168,18,18,115,0,100
1,183,3,3,115,0,100
1,182,7,7,115,0,100
1,184,6,6,115,0,100
1,177,14,14,115,0,100
1,188,6,6,115,0,100
1,187,8,8,115,0,100
1,191,4,4,115,0,100
1,192,3,3,115,0,100
1,178,19,19,115,0,100
1,197,1,1,115,0,100
1,193,5,5,115,0,100
1,196,2,2,115,0,100
1,181,17,17,115,0,100
1,195,5,5,115,0,100
1,185,16,16,115,0,100
1,201,4,4,115,0,100
1,186,9,21,115,0,100
1,190,18,18,115,0,100
1,189,20,20,115,0,100
1,208,1,1,115,0,100
1,198,12,12,115,0,100
1,206,4,4,115,0,100
1,202,10,10,115,0,100
1,200,12,12,115,0,100
1,199,13,13,115,0,100
1,207,2,5,115,0,100
1,194,18,18,115,0,100
1,203,11,11,115,0,100
1,210,4,4,115,0,100
1,214,2,2,115,0,100
1,205,13,13,115,0,100
1,204,14,14,115,0,100
1,216,4,4,115,0,100
1,220,1,1,115,0,100
1,213,10,10,115,0,100
1,211,15,15,115,0,100
1,215,12,12,115,0,100
1,209,20,20,115,0,100
1,212,18,18,115,0,100
1,218,14,14,115,0,100
1,227,6,6,115,0,100
1,232,2,2,115,0,100
1,231,5,5,115,0,100
1,228,8,8,115,0,100
1,217,19,19,115,0,100
1,222,16,16,115,0,100
1,219,19,19,115,0,100
1,223,11,15,115,0,100
1,237,3,3,115,0,100
1,226,14,14,115,0,100
1,224,9,17,115,0,100
1,225,16,16,115,0,100
1,234,7,7,115,0,100
1,229,13,13,115,0,100
1,233,9,9,115,0,100
1,236,7,7,115,0,100
1,243,2,2,115,0,100
1,239,8,8,115,0,100
1,230,19,19,115,0,100
1,238,12,12,115,0,100
1,235,16,16,115,0,100
1,241,10,10,115,0,100
1,246,3,5,115,0,100
1,221,16,33,115,0,100
1,242,14,14,115,0,100
1,240,17,17,115,0,100
1,255,3,3,115,0,100
1,245,15,15,115,0,100
1,244,17,17,115,0,100
1,250,11,11,115,0,100
1,249,14,14,115,0,100
1,261,3,3,115,0,100
1,248,9,15,115,0,100
1,252,12,12,115,0,100
1,253,12,12,115,0,100
1,247,19,19,115,0,100
1,259,8,8,115,0,100
1,251,17,17,115,0,100
1,271,2,2,115,0,100
1,254,19,19,115,0,100
1,257,17,17,115,0,100
1,256,19,19,115,0,100
1,260,15,15,115,0,100
1,275,1,1,115,0,100
1,266,10,10,115,0,100
1,258,20,20,115,0,100
1,267,5,12,115,0,100
1,269,11,11,115,0,100
1,277,3,3,115,0,100
1,262,19,19,115,0,100
1,263,18,18,115,0,100
1,273,10,10,115,0,100
1,264,19,19,115,0,100
1,265,19,19,115,0,100
1,276,9,9,115,0,100
1,268,17,17,115,0,100
1,284,1,1,115,0,100
