trial,step,original,complete,window,sups,size
1,1,1,1,10,0,100
1,8,3,3,10,0,100
1,10,2,2,10,0,100
1,6,7,7,10,0,100
1,7,6,6,10,0,100
1,12,2,2,10,0,100
1,3,14,14,10,0,100
1,9,9,9,10,0,100
1,4,15,15,10,0,100
1,5,15,15,10,0,100
1,16,4,4,10,0,100
1,2,19,19,10,0,100
1,19,3,3,10,0,100
1,23,3,3,10,0,100
1,14,13,13,10,0,100
1,17,10,10,10,0,100
1,15,13,13,10,0,100
1,22,7,7,10,0,100
1,11,19,19,10,0,100
1,13,19,19,10,0,100
1,18,15,15,10,0,100
1,27,13,13,10,0,100
1,20,19,19,10,0,100
1,21,18,18,10,0,100
1,24,15,15,10,0,100
1,28,11,11,10,0,100
1,33,11,11,10,0,100
1,25,20,20,10,0,100
1,26,19,19,10,0,100
1,31,14,14,10,0,100
1,32,14,14,10,0,100
1,34,12,12,10,0,100
1,29,16,16,10,0,100
1,37,9,9,10,0,100
1,46,1,1,10,0,100
1,36,10,12,10,0,100
1,40,8,8,10,0,100
1,30,20,20,10,0,100
1,35,6,15,10,0,100
1,38,13,13,10,0,100
1,43,8,10,10,0,100
1,47,6,6,10,0,100
1,54,1,1,10,0,100
1,55,1,1,10,0,100
1,44,7,13,10,0,100
1,42,16,16,10,0,100
1,39,18,18,10,0,100
1,50,9,9,10,0,100
1,48,11,11,10,0,100
1,41,18,18,10,0,100
1,49,14,14,10,0,100
1,56,5,5,10,0,100
1,45,20,20,10,0,100
1,58,9,9,10,0,100
1,53,17,17,10,0,100
1,51,19,19,10,0,100
1,65,7,7,10,0,100
1,60,12,12,10,0,100
1,72,4,4,10,0,100
1,57,19,19,10,0,100
1,59,17,17,10,0,100
1,74,6,6,10,0,100
1,52,18,27,10,0,100
1,78,1,1,10,0,100
1,63,20,20,10,0,100
1,62,20,20,10,0,100
1,66,15,15,10,0,100
1,69,14,14,10,0,100
1,68,15,15,10,0,100
1,75,9,9,10,0,100
1,79,5,5,10,0,100
1,70,13,13,10,0,100
1,64,20,20,10,0,100
1,67,1,18,10,0,100
1,73,13,13,10,0,100
1,84,3,3,10,0,100
1,71,16,16,10,0,100
1,76,13,13,10,0,100
1,86,3,3,10,0,100
1,81,8,8,10,0,100
1,83,5,7,10,0,100
1,77,13,13,10,0,100
1,89,3,3,10,0,100
1,61,19,29,10,0,100
1,85,4,9,10,0,100
1,91,5,5,10,0,100
1,87,9,9,10,0,100
1,80,18,18,10,0,100
1,82,18,18,10,0,100
1,96,4,4,10,0,100
1,92,8,8,10,0,100
1,93,7,7,10,0,100
1,90,10,10,10,0,100
1,98,3,3,10,0,100
1,101,1,1,10,0,100
1,88,17,17,10,0,100
1,97,10,10,10,0,100
1,104,5,5,10,0,100
1,103,7,7,10,0,100
1,95,16,16,10,0,100
1,111,2,2,10,0,100
1,102,11,11,10,0,100
1,94,19,19,10,0,100
1,110,4,4,10,0,100
1,113,2,2,10,0,100
1,106,10,10,10,0,100
1,99,20,20,10,0,100
1,118,1,1,10,0,100
1,100,20,20,10,0,100
1,107,15,15,10,0,100
1,120,2,2,10,0,100
1,123,1,1,10,0,100
1,109,17,17,10,0,100
