trial,step,original,complete,window,sups,size
1,10,7,7,150,1,100
1,13,12,12,150,1,100
1,14,17,17,150,1,100
1,22,9,9,150,1,100
1,2,30,30,150,1,100
1,5,32,32,150,1,100
1,3,43,43,150,1,100
1,8,39,39,150,1,100
1,9,14,41,150,1,100
1,23,31,31,150,1,100
1,47,8,8,150,1,100
1,30,24,25,150,1,100
1,49,9,9,150,1,100
1,65,2,2,150,1,100
1,15,56,56,150,1,100
1,37,23,37,150,1,100
1,7,67,67,150,1,100
1,25,51,51,150,1,100
1,4,73,73,150,1,100
1,16,29,61,150,1,100
1,20,53,63,150,1,100
1,18,68,68,150,1,100
1,11,81,81,150,1,100
1,71,22,22,150,1,100
1,42,52,52,150,1,100
1,32,64,64,150,1,100
1,31,66,66,150,1,100
1,55,42,42,150,1,100
1,62,37,37,150,1,100
1,99,5,5,150,1,100
1,27,76,76,150,1,100
1,6,97,97,150,1,100
1,44,28,61,150,1,100
1,12,93,93,150,1,100
1,90,16,16,150,1,100
1,29,78,78,150,1,100
1,45,37,66,150,1,100
1,24,87,87,150,1,100
1,1,80,110,150,1,100
1,95,16,20,150,1,100
1,19,97,97,150,1,100
1,59,58,58,150,1,100
1,54,12,65,150,1,100
1,48,8,71,150,1,100
1,66,53,53,150,1,100
1,34,94,94,150,1,100
1,80,48,48,150,1,100
1,56,36,74,150,1,100
1,78,53,53,150,1,100
1,128,3,3,150,1,100
1,39,92,92,150,1,100
1,76,58,58,150,1,100
1,81,6,53,150,1,100
1,52,83,83,150,1,100
1,51,89,89,150,1,100
1,53,70,87,150,1,100
1,61,81,81,150,1,100
1,38,65,104,150,1,100
1,67,39,77,150,1,100
1,113,26,32,150,1,100
1,141,4,4,150,1,100
1,133,13,13,150,1,100
1,72,75,75,150,1,100
1,120,28,28,150,1,100
1,50,58,100,150,1,100
1,36,39,115,150,1,100
1,93,61,61,150,1,100
1,83,37,74,150,1,100
1,154,2,2,150,1,100
1,121,5,38,150,1,100
1,26,49,136,150,1,100
1,79,82,82,150,1,100
1,88,77,77,150,1,100
1,92,74,74,150,1,100
1,100,52,67,150,1,100
1,35,18,133,150,1,100
1,85,73,84,150,1,100
1,89,3,83,150,1,100
1,17,97,156,150,1,100
1,97,77,77,150,1,100
1,123,4,52,150,1,100
1,108,68,68,150,1,100
1,111,44,66,150,1,100
1,40,36,138,150,1,100
1,135,23,44,150,1,100
1,58,65,124,150,1,100
1,70,78,111,150,1,100
1,82,1,101,150,1,100
1,118,69,69,150,1,100
1,64,9,126,150,1,100
1,178,13,13,150,1,100
1,91,61,101,150,1,100
1,155,38,38,150,1,100
1,107,1,86,150,1,100
1,105,65,88,150,1,100
1,177,16,16,150,1,100
1,86,76,109,150,1,100
1,136,49,59,150,1,100
1,104,97,97,150,1,100
1,183,18,18,150,1,100
1,139,63,63,150,1,100
1,161,30,48,150,1,100
1,126,71,87,150,1,100
1,180,32,32,150,1,100
1,57,78,156,150,1,100
1,63,39,155,150,1,100
1,129,26,90,150,1,100
1,73,3,147,150,1,100
1,77,88,145,150,1,100
1,162,30,60,150,1,100
1,181,40,40,150,1,100
1,140,79,84,150,1,100
1,110,73,114,150,1,100
1,115,30,110,150,1,100
1,75,80,152,150,1,100
1,197,30,30,150,1,100
1,166,51,60,150,1,100
1,114,44,113,150,1,100
1,220,9,9,150,1,100
1,98,95,131,150,1,100
1,96,67,136,150,1,100
1,46,72,187,150,1,100
1,127,87,108,150,1,100
1,151,84,84,150,1,100
1,84,68,153,150,1,100
1,157,8,78,150,1,100
1,215,23,23,150,1,100
1,159,45,81,150,1,100
1,169,32,72,150,1,100
1,143,11,99,150,1,100
1,74,98,168,150,1,100
1,21,69,221,150,1,100
1,152,21,93,150,1,100
1,229,16,16,150,1,100
1,192,52,52,150,1,100
1,132,25,113,150,1,100
1,119,55,129,150,1,100
1,69,58,179,150,1,100
1,60,17,191,150,1,100
1,125,80,131,150,1,100
1,164,95,95,150,1,100
1,217,42,42,150,1,100
1,195,25,65,150,1,100
1,163,97,97,150,1,100
