trial,step,original,complete,window,sups,size
1,3,6,6,90,1,100
1,6,5,5,90,1,100
1,11,1,1,90,1,100
1,7,8,8,90,1,100
1,5,11,11,90,1,100
1,10,7,7,90,1,100
1,2,16,16,90,1,100
1,8,17,17,90,1,100
1,14,13,13,90,1,100
1,12,17,17,90,1,100
1,1,26,26,90,1,100
1,16,16,16,90,1,100
1,15,19,19,90,1,100
1,23,16,16,90,1,100
1,37,3,3,90,1,100
1,13,28,28,90,1,100
1,17,25,25,90,1,100
1,19,24,24,90,1,100
1,20,23,23,90,1,100
1,4,40,40,90,1,100
1,9,37,37,90,1,100
1,21,28,28,90,1,100
1,18,38,38,90,1,100
1,46,10,10,90,1,100
1,38,8,19,90,1,100
1,29,29,29,90,1,100
1,31,27,27,90,1,100
1,24,18,36,90,1,100
1,26,43,43,90,1,100
1,25,21,38,90,1,100
1,60,10,10,90,1,100
1,59,16,16,90,1,100
1,36,39,39,90,1,100
1,35,41,41,90,1,100
1,28,18,51,90,1,100
1,40,22,40,90,1,100
1,34,48,48,90,1,100
1,56,14,14,90,1,100
1,22,44,51,90,1,100
1,61,11,25,90,1,100
1,30,12,44,90,1,100
1,32,44,44,90,1,100
1,44,38,38,90,1,100
1,43,19,45,90,1,100
1,27,49,49,90,1,100
1,51,13,41,90,1,100
1,62,6,6,90,1,100
1,48,36,46,90,1,100
1,76,10,10,90,1,100
1,65,15,15,90,1,100
1,54,47,47,90,1,100
1,58,23,44,90,1,100
1,88,13,17,90,1,100
1,74,20,20,90,1,100
1,81,22,22,90,1,100
1,75,23,23,90,1,100
1,70,26,26,90,1,100
1,92,18,18,90,1,100
1,73,1,24,90,1,100
1,66,34,34,90,1,100
1,85,11,25,90,1,100
1,93,21,21,90,1,100
1,83,31,31,90,1,100
1,94,24,24,90,1,100
1,67,42,42,90,1,100
1,84,35,35,90,1,100
1,41,45,81,90,1,100
1,64,20,36,90,1,100
1,119,5,5,90,1,100
1,108,15,15,90,1,100
1,86,39,39,90,1,100
1,91,5,36,90,1,100
1,82,43,43,90,1,100
1,98,11,31,90,1,100
1,39,45,80,90,1,100
1,69,47,47,90,1,100
1,125,5,5,90,1,100
1,33,40,83,90,1,100
1,52,1,65,90,1,100
1,101,31,31,90,1,100
1,78,46,46,90,1,100
1,45,45,88,90,1,100
1,97,20,37,90,1,100
1,100,35,35,90,1,100
1,49,42,87,90,1,100
1,79,17,50,90,1,100
1,89,49,49,90,1,100
1,109,7,30,90,1,100
1,114,25,25,90,1,100
1,72,48,55,90,1,100
1,90,8,50,90,1,100
1,77,36,56,90,1,100
1,111,8,31,90,1,100
1,122,21,21,90,1,100
1,115,29,29,90,1,100
1,126,5,18,90,1,100
1,112,34,34,90,1,100
1,144,2,2,90,1,100
1,131,16,16,90,1,100
1,149,3,3,90,1,100
1,99,23,53,90,1,100
1,50,18,104,90,1,100
1,105,50,50,90,1,100
1,55,28,91,90,1,100
1,95,48,63,90,1,100
1,110,33,48,90,1,100
1,137,22,22,90,1,100
1,116,27,44,90,1,100
1,146,15,15,90,1,100
1,102,49,58,90,1,100
1,143,21,21,90,1,100
1,57,7,97,90,1,100
1,104,46,62,90,1,100
1,163,4,4,90,1,100
1,134,36,36,90,1,100
1,42,50,130,90,1,100
1,132,40,40,90,1,100
1,136,32,36,90,1,100
1,71,41,87,90,1,100
1,171,4,4,90,1,100
