trial,step,original,complete,window,sups,size
1,5,4,4,115,1,100
1,9,1,1,115,1,100
1,11,1,1,115,1,100
1,4,7,7,115,1,100
1,3,9,9,115,1,100
1,7,5,7,115,1,100
1,2,14,14,115,1,100
1,1,15,15,115,1,100
1,13,4,4,115,1,100
1,8,12,12,115,1,100
1,10,11,11,115,1,100
1,17,4,4,115,1,100
1,6,15,15,115,1,100
1,14,8,8,115,1,100
1,12,7,12,115,1,100
1,23,1,1,115,1,100
1,15,13,13,115,1,100
1,20,7,7,115,1,100
1,24,5,5,115,1,100
1,19,11,11,115,1,100
1,16,20,20,115,1,100
1,30,5,5,115,1,100
1,18,18,18,115,1,100
1,27,10,10,115,1,100
1,21,18,18,115,1,100
1,22,18,18,115,1,100
1,34,5,5,115,1,100
1,29,11,11,115,1,100
1,32,9,9,115,1,100
1,26,16,16,115,1,100
1,35,7,7,115,1,100
1,28,15,15,115,1,100
1,38,5,5,115,1,100
1,33,10,10,115,1,100
1,44,2,2,115,1,100
1,36,10,10,115,1,100
1,37,6,9,115,1,100
1,31,17,17,115,1,100
1,45,4,4,115,1,100
1,25,11,26,115,1,100
1,47,6,6,115,1,100
1,39,16,16,115,1,100
1,41,14,14,115,1,100
1,42,9,13,115,1,100
1,51,5,5,115,1,100
1,54,3,3,115,1,100
1,49,10,10,115,1,100
1,57,3,3,115,1,100
1,46,14,14,115,1,100
1,40,18,21,115,1,100
1,60,1,1,115,1,100
1,58,5,5,115,1,100
1,43,17,22,115,1,100
1,48,17,17,115,1,100
1,56,6,10,115,1,100
1,66,2,2,115,1,100
1,50,19,19,115,1,100
1,52,18,18,115,1,100
1,55,16,16,115,1,100
1,65,8,8,115,1,100
1,64,9,9,115,1,100
1,53,20,20,115,1,100
1,72,2,2,115,1,100
1,59,18,18,115,1,100
1,68,9,9,115,1,100
1,74,5,5,115,1,100
1,67,12,12,115,1,100
1,62,18,18,115,1,100
1,63,17,17,115,1,100
1,69,11,11,115,1,100
1,77,6,6,115,1,100
1,75,8,8,115,1,100
1,61,10,26,115,1,100
1,73,14,14,115,1,100
1,84,3,3,115,1,100
1,70,18,18,115,1,100
1,79,9,9,115,1,100
1,82,7,7,115,1,100
1,86,3,3,115,1,100
1,71,18,18,115,1,100
1,83,9,9,115,1,100
1,80,13,13,115,1,100
1,78,6,16,115,1,100
1,93,2,2,115,1,100
1,76,20,20,115,1,100
1,87,5,10,115,1,100
1,81,16,16,115,1,100
1,88,13,13,115,1,100
1,85,16,16,115,1,100
1,99,1,3,115,1,100
1,90,12,12,115,1,100
1,95,8,8,115,1,100
1,100,3,3,115,1,100
1,101,4,4,115,1,100
1,98,10,10,115,1,100
1,91,18,18,115,1,100
1,89,20,20,115,1,100
1,97,13,13,115,1,100
1,94,16,16,115,1,100
1,92,20,20,115,1,100
1,111,1,1,115,1,100
1,104,3,8,115,1,100
1,96,17,17,115,1,100
1,106,8,8,115,1,100
1,103,11,11,115,1,100
1,107,8,8,115,1,100
1,113,4,4,115,1,100
1,102,8,16,115,1,100
1,116,4,4,115,1,100
1,110,8,11,115,1,100
1,109,14,14,115,1,100
1,105,20,20,115,1,100
1,108,19,19,115,1,100
1,112,15,15,115,1,100
1,122,6,6,115,1,100
1,115,13,13,115,1,100
1,124,4,4,115,1,100
1,114,15,15,115,1,100
1,117,12,12,115,1,100
1,119,11,11,115,1,100
1,126,5,5,115,1,100
1,120,13,13,115,1,100
1,129,5,5,115,1,100
1,131,4,4,115,1,100
1,121,16,16,115,1,100
1,133,4,4,115,1,100
1,128,7,10,115,1,100
1,135,4,4,115,1,100
1,127,12,12,115,1,100
1,130,9,9,115,1,100
1,125,17,17,115,1,100
1,123,20,20,115,1,100
1,143,2,2,115,1,100
1,141,4,4,115,1,100
1,140,6,6,115,1,100
1,132,14,14,115,1,100
1,118,18,29,115,1,100
1,134,14,14,115,1,100
1,139,11,11,115,1,100
1,138,15,15,115,1,100
1,137,16,16,115,1,100
1,136,17,20,115,1,100
1,153,3,3,115,1,100
1,145,13,13,115,1,100
1,149,10,10,115,1,100
1,147,12,12,115,1,100
1,144,15,15,115,1,100
1,156,4,4,115,1,100
1,155,7,7,115,1,100
1,142,20,20,115,1,100
1,158,5,5,115,1,100
1,148,15,15,115,1,100
1,161,2,2,115,1,100
1,146,18,18,115,1,100
1,154,12,12,115,1,100
1,157,4,9,115,1,100
1,150,4,16,115,1,100
1,160,6,6,115,1,100
1,151,15,15,115,1,100
1,159,7,7,115,1,100
1,162,5,5,115,1,100
1,163,7,7,115,1,100
1,167,5,5,115,1,100
1,152,20,20,115,1,100
1,164,10,10,115,1,100
1,166,8,8,115,1,100
1,171,6,6,115,1,100
1,175,3,3,115,1,100
1,176,2,2,115,1,100
1,173,7,7,115,1,100
1,177,3,3,115,1,100
1,178,3,3,115,1,100
1,165,17,17,115,1,100
1,168,14,14,115,1,100
1,170,13,13,115,1,100
1,183,1,1,115,1,100
1,181,5,7,115,1,100
1,169,20,20,115,1,100
1,184,6,6,115,1,100
1,172,19,19,115,1,100
1,174,18,18,115,1,100
1,180,12,12,115,1,100
1,194,1,1,115,1,100
1,186,10,10,115,1,100
1,190,6,6,115,1,100
1,189,8,8,115,1,100
1,187,10,10,115,1,100
1,179,19,19,115,1,100
1,182,19,19,115,1,100
1,188,13,13,115,1,100
1,197,4,4,115,1,100
1,198,6,6,115,1,100
1,185,20,20,115,1,100
1,195,11,11,115,1,100
1,200,7,7,115,1,100
1,192,17,17,115,1,100
1,203,7,7,115,1,100
1,193,18,18,115,1,100
1,206,6,6,115,1,100
1,209,5,5,115,1,100
1,210,4,4,115,1,100
1,196,3,18,115,1,100
1,213,2,2,115,1,100
1,202,13,13,115,1,100
1,201,15,15,115,1,100
1,199,17,17,115,1,100
1,191,20,27,115,1,100
1,214,4,4,115,1,100
1,204,15,15,115,1,100
1,220,1,1,115,1,100
1,207,15,15,115,1,100
1,218,5,5,115,1,100
1,205,19,19,115,1,100
1,211,14,14,115,1,100
1,217,8,8,115,1,100
1,225,1,1,115,1,100
1,224,5,5,115,1,100
1,212,20,20,115,1,100
1,216,16,16,115,1,100
1,226,6,6,115,1,100
1,208,18,25,115,1,100
1,223,10,10,115,1,100
1,219,15,15,115,1,100
1,234,1,1,115,1,100
1,232,3,3,115,1,100
1,236,2,2,115,1,100
1,229,9,9,115,1,100
1,222,19,19,115,1,100
1,240,1,1,115,1,100
1,233,8,8,115,1,100
1,227,16,16,115,1,100
1,235,8,8,115,1,100
1,230,9,13,115,1,100
1,228,16,16,115,1,100
1,231,14,14,115,1,100
1,221,20,24,115,1,100
1,242,4,4,115,1,100
1,246,1,1,115,1,100
1,215,16,34,115,1,100
1,247,2,2,115,1,100
1,239,12,12,115,1,100
1,237,15,15,115,1,100
1,248,5,5,115,1,100
1,243,10,10,115,1,100
1,238,15,15,115,1,100
1,244,9,9,115,1,100
1,241,13,13,115,1,100
1,249,6,6,115,1,100
1,251,1,4,115,1,100
1,252,7,7,115,1,100
1,256,3,3,115,1,100
1,255,5,5,115,1,100
1,258,3,3,115,1,100
1,254,9,9,115,1,100
1,257,6,6,115,1,100
1,263,1,1,115,1,100
1,253,12,12,115,1,100
1,261,4,4,115,1,100
1,266,2,2,115,1,100
1,265,4,4,115,1,100
1,250,20,20,115,1,100
1,245,18,26,115,1,100
1,260,16,16,115,1,100
1,272,6,6,115,1,100
1,264,15,15,115,1,100
1,259,20,20,115,1,100
1,276,3,3,115,1,100
1,262,18,18,115,1,100
1,277,2,4,115,1,100
1,275,8,8,115,1,100
1,282,1,1,115,1,100
1,278,7,7,115,1,100
1,273,12,12,115,1,100
1,271,14,14,115,1,100
1,280,6,6,115,1,100
1,284,2,2,115,1,100
1,267,20,20,115,1,100
1,274,14,14,115,1,100
1,268,20,20,115,1,100
1,269,19,19,115,1,100
1,270,12,22,115,1,100
1,281,12,12,115,1,100
1,279,16,16,115,1,100
