trial,step,original,complete,window,sups,size
10,2,3,3,10,1,100
10,7,1,1,10,1,100
10,6,5,5,10,1,100
10,1,16,16,10,1,100
10,10,17,17,10,1,100
10,21,7,7,10,1,100
10,11,19,19,10,1,100
10,26,9,9,10,1,100
10,14,23,23,10,1,100
10,38,3,3,10,1,100
10,39,2,2,10,1,100
10,28,14,14,10,1,100
10,9,33,33,10,1,100
10,3,40,40,10,1,100
10,29,15,15,10,1,100
10,5,39,39,10,1,100
10,19,26,26,10,1,100
10,44,2,2,10,1,100
10,8,39,39,10,1,100
10,22,31,31,10,1,100
10,20,35,35,10,1,100
10,40,17,17,10,1,100
10,12,27,45,10,1,100
10,15,42,42,10,1,100
10,17,16,41,10,1,100
10,18,41,41,10,1,100
10,24,38,38,10,1,100
10,59,8,8,10,1,100
10,31,21,37,10,1,100
10,34,35,35,10,1,100
10,67,2,2,10,1,100
10,45,26,27,10,1,100
10,25,47,47,10,1,100
10,41,16,32,10,1,100
10,33,30,41,10,1,100
10,48,26,26,10,1,100
10,65,10,10,10,1,100
10,32,44,44,10,1,100
10,30,46,46,10,1,100
10,27,50,50,10,1,100
10,4,35,74,10,1,100
10,50,10,29,10,1,100
10,37,42,42,10,1,100
10,54,26,26,10,1,100
10,51,29,29,10,1,100
10,47,34,34,10,1,100
10,36,45,45,10,1,100
10,13,26,70,10,1,100
10,55,10,28,10,1,100
10,69,9,16,10,1,100
10,56,29,29,10,1,100
10,60,26,26,10,1,100
10,42,45,45,10,1,100
10,16,10,72,10,1,100
10,82,7,7,10,1,100
10,46,44,44,10,1,100
10,72,15,18,10,1,100
10,78,3,13,10,1,100
10,87,9,9,10,1,100
10,52,45,45,10,1,100
10,35,24,63,10,1,100
10,62,24,36,10,1,100
10,23,16,76,10,1,100
10,57,16,44,10,1,100
10,53,33,48,10,1,100
10,100,3,3,10,1,100
10,43,7,62,10,1,100
10,58,33,47,10,1,100
10,68,9,38,10,1,100
10,70,36,36,10,1,100
10,77,29,29,10,1,100
10,73,32,35,10,1,100
10,61,48,48,10,1,100
10,95,9,19,10,1,100
10,97,18,18,10,1,100
10,80,35,35,10,1,100
10,91,10,25,10,1,100
10,105,15,15,10,1,100
10,90,32,32,10,1,100
10,101,21,21,10,1,100
10,66,39,56,10,1,100
10,75,42,47,10,1,100
10,94,9,30,10,1,100
10,49,45,75,10,1,100
10,85,21,41,10,1,100
10,104,23,23,10,1,100
10,81,47,47,10,1,100
10,99,29,29,10,1,100
10,83,46,46,10,1,100
10,113,17,17,10,1,100
10,88,43,43,10,1,100
10,84,49,49,10,1,100
10,102,31,31,10,1,100
10,121,16,16,10,1,100
10,119,20,20,10,1,100
10,116,23,23,10,1,100
10,115,27,27,10,1,100
10,130,13,13,10,1,100
10,114,30,30,10,1,100
10,111,33,33,10,1,100
10,124,22,22,10,1,100
10,112,36,36,10,1,100
10,98,50,50,10,1,100
10,64,48,85,10,1,100
10,123,1,26,10,1,100
10,129,23,23,10,1,100
10,108,30,44,10,1,100
10,63,50,88,10,1,100
10,71,31,82,10,1,100
10,103,50,50,10,1,100
10,136,20,20,10,1,100
10,117,23,39,10,1,100
10,122,34,34,10,1,100
10,147,10,10,10,1,100
10,96,35,61,10,1,100
10,110,48,48,10,1,100
10,106,31,53,10,1,100
10,125,34,34,10,1,100
10,128,15,31,10,1,100
