trial,step,original,complete,window,sups,size
1,1,2,2,1,1,100
1,4,4,4,1,1,100
1,3,9,9,1,1,100
1,13,3,3,1,1,100
1,14,5,5,1,1,100
1,7,11,11,1,1,100
1,28,3,3,1,1,100
1,5,27,27,1,1,100
1,8,28,28,1,1,100
1,16,23,23,1,1,100
1,12,28,28,1,1,100
1,27,4,16,1,1,100
1,19,24,24,1,1,100
1,15,33,33,1,1,100
1,10,38,38,1,1,100
1,2,48,48,1,1,100
1,37,15,15,1,1,100
1,6,45,45,1,1,100
1,17,37,37,1,1,100
1,46,9,9,1,1,100
1,44,13,13,1,1,100
1,11,47,47,1,1,100
1,25,20,35,1,1,100
1,31,29,29,1,1,100
1,29,36,36,1,1,100
1,40,25,25,1,1,100
1,49,16,16,1,1,100
1,50,15,15,1,1,100
1,63,3,3,1,1,100
1,23,43,43,1,1,100
1,58,9,9,1,1,100
1,53,3,16,1,1,100
1,39,32,32,1,1,100
1,36,37,37,1,1,100
1,26,48,48,1,1,100
1,42,33,33,1,1,100
1,69,9,9,1,1,100
1,32,45,45,1,1,100
1,22,35,56,1,1,100
1,71,8,8,1,1,100
1,54,26,26,1,1,100
1,57,22,22,1,1,100
1,55,27,27,1,1,100
1,38,44,44,1,1,100
1,65,13,21,1,1,100
1,9,31,77,1,1,100
1,85,4,4,1,1,100
1,83,8,8,1,1,100
1,88,3,3,1,1,100
1,21,41,73,1,1,100
1,24,18,72,1,1,100
1,56,25,40,1,1,100
1,59,38,38,1,1,100
1,64,31,34,1,1,100
1,67,32,32,1,1,100
1,74,25,25,1,1,100
1,34,40,66,1,1,100
1,91,9,9,1,1,100
1,43,27,58,1,1,100
1,62,39,39,1,1,100
1,61,43,43,1,1,100
1,86,18,18,1,1,100
1,30,10,75,1,1,100
1,90,16,16,1,1,100
1,75,31,31,1,1,100
1,35,11,72,1,1,100
1,18,21,92,1,1,100
1,89,20,20,1,1,100
1,60,50,50,1,1,100
1,66,45,45,1,1,100
1,80,31,31,1,1,100
1,87,25,25,1,1,100
1,98,17,17,1,1,100
1,68,46,47,1,1,100
1,110,7,7,1,1,100
1,82,35,35,1,1,100
1,77,41,41,1,1,100
1,102,17,17,1,1,100
1,99,20,22,1,1,100
1,72,48,50,1,1,100
1,93,30,30,1,1,100
1,109,16,16,1,1,100
1,105,21,21,1,1,100
1,84,22,42,1,1,100
1,96,31,31,1,1,100
1,117,12,12,1,1,100
1,111,18,18,1,1,100
1,47,22,82,1,1,100
1,92,37,37,1,1,100
1,113,17,17,1,1,100
1,129,2,2,1,1,100
1,97,13,35,1,1,100
1,115,2,17,1,1,100
1,120,14,14,1,1,100
1,45,36,91,1,1,100
1,95,41,41,1,1,100
1,126,11,11,1,1,100
1,133,8,8,1,1,100
1,70,43,71,1,1,100
1,112,21,30,1,1,100
1,20,34,124,1,1,100
1,101,44,44,1,1,100
1,94,36,51,1,1,100
1,100,47,47,1,1,100
1,123,18,25,1,1,100
1,131,17,17,1,1,100
1,106,1,42,1,1,100
1,79,34,70,1,1,100
1,51,20,98,1,1,100
1,130,19,19,1,1,100
1,33,7,117,1,1,100
1,127,17,24,1,1,100
1,138,15,15,1,1,100
1,152,2,2,1,1,100
1,107,36,48,1,1,100
1,148,11,11,1,1,100
1,125,13,36,1,1,100
1,153,9,9,1,1,100
1,132,30,30,1,1,100
1,137,27,27,1,1,100
1,103,40,60,1,1,100
1,135,32,32,1,1,100
1,143,24,24,1,1,100
1,136,32,32,1,1,100
1,162,6,6,1,1,100
1,118,23,51,1,1,100
1,108,44,63,1,1,100
1,159,12,12,1,1,100
1,122,45,51,1,1,100
1,81,25,93,1,1,100
1,134,43,43,1,1,100
1,150,24,27,1,1,100
1,73,37,105,1,1,100
1,41,29,139,1,1,100
1,175,8,8,1,1,100
1,158,26,26,1,1,100
1,167,17,17,1,1,100
1,114,49,71,1,1,100
1,124,14,63,1,1,100
1,139,50,50,1,1,100
1,187,3,3,1,1,100
1,179,11,11,1,1,100
1,157,34,34,1,1,100
1,174,17,17,1,1,100
1,116,17,75,1,1,100
1,145,49,49,1,1,100
1,160,36,36,1,1,100
1,78,17,117,1,1,100
1,164,31,31,1,1,100
1,170,28,28,1,1,100
1,176,22,22,1,1,100
1,193,6,6,1,1,100
1,140,36,60,1,1,100
1,104,50,95,1,1,100
1,183,17,17,1,1,100
1,169,31,31,1,1,100
1,171,30,30,1,1,100
1,191,12,12,1,1,100
1,190,14,14,1,1,100
1,142,44,64,1,1,100
1,206,1,1,1,1,100
1,165,42,42,1,1,100
1,178,23,29,1,1,100
1,172,35,35,1,1,100
1,173,34,34,1,1,100
1,154,10,55,1,1,100
1,146,44,65,1,1,100
1,204,3,6,1,1,100
1,151,44,60,1,1,100
1,121,44,92,1,1,100
1,163,43,51,1,1,100
1,149,32,68,1,1,100
1,181,9,37,1,1,100
1,214,5,5,1,1,100
1,208,13,13,1,1,100
1,177,45,45,1,1,100
1,188,35,35,1,1,100
1,184,39,39,1,1,100
1,194,30,30,1,1,100
1,186,42,42,1,1,100
1,196,33,33,1,1,100
1,141,41,89,1,1,100
1,48,50,182,1,1,100
1,119,40,112,1,1,100
1,128,1,104,1,1,100
1,219,14,14,1,1,100
1,202,32,32,1,1,100
1,199,35,35,1,1,100
1,223,11,11,1,1,100
1,216,19,19,1,1,100
1,180,36,57,1,1,100
1,197,26,42,1,1,100
1,227,14,14,1,1,100
1,209,31,32,1,1,100
1,192,34,49,1,1,100
1,220,22,22,1,1,100
1,207,18,35,1,1,100
1,212,32,32,1,1,100
1,168,49,76,1,1,100
1,185,27,60,1,1,100
1,234,11,11,1,1,100
1,205,41,41,1,1,100
1,210,5,37,1,1,100
1,195,32,54,1,1,100
1,215,35,35,1,1,100
1,224,9,26,1,1,100
1,147,41,105,1,1,100
1,247,5,5,1,1,100
1,189,31,65,1,1,100
1,229,26,26,1,1,100
1,244,13,13,1,1,100
1,238,19,23,1,1,100
1,203,27,58,1,1,100
1,251,13,13,1,1,100
1,201,10,63,1,1,100
1,211,19,53,1,1,100
1,253,11,11,1,1,100
1,226,41,41,1,1,100
1,246,21,21,1,1,100
1,257,10,10,1,1,100
1,241,27,27,1,1,100
1,230,34,38,1,1,100
1,218,20,52,1,1,100
1,52,41,218,1,1,100
1,262,9,9,1,1,100
1,222,2,50,1,1,100
1,249,24,24,1,1,100
1,182,39,94,1,1,100
1,228,13,49,1,1,100
1,155,50,125,1,1,100
1,259,21,21,1,1,100
1,239,42,42,1,1,100
1,231,9,50,1,1,100
1,270,11,11,1,1,100
1,198,35,86,1,1,100
1,283,1,1,1,1,100
1,274,10,10,1,1,100
1,260,24,25,1,1,100
1,217,41,68,1,1,100
1,277,8,8,1,1,100
1,156,34,130,1,1,100
1,254,35,35,1,1,100
1,279,11,11,1,1,100
1,225,44,65,1,1,100
1,264,27,27,1,1,100
1,252,39,39,1,1,100
1,250,42,42,1,1,100
1,288,4,4,1,1,100
1,265,28,28,1,1,100
1,293,6,6,1,1,100
1,272,29,29,1,1,100
1,242,35,61,1,1,100
1,261,39,42,1,1,100
1,76,33,228,1,1,100
1,256,37,48,1,1,100
1,295,9,9,1,1,100
1,258,47,47,1,1,100
1,290,6,17,1,1,100
1,236,33,74,1,1,100
1,280,30,30,1,1,100
1,237,27,74,1,1,100
1,276,36,36,1,1,100
1,298,15,15,1,1,100
1,286,27,27,1,1,100
1,308,6,6,1,1,100
1,312,1,2,1,1,100
1,294,20,20,1,1,100
1,291,23,23,1,1,100
1,232,24,82,1,1,100
1,310,5,5,1,1,100
1,284,31,31,1,1,100
1,268,48,48,1,1,100
1,263,25,54,1,1,100
1,235,42,83,1,1,100
1,302,4,16,1,1,100
1,271,39,49,1,1,100
1,267,3,54,1,1,100
1,275,47,47,1,1,100
1,266,30,57,1,1,100
1,304,5,19,1,1,100
1,161,44,163,1,1,100
1,313,4,14,1,1,100
1,292,37,37,1,1,100
1,316,13,13,1,1,100
1,281,50,50,1,1,100
1,282,50,50,1,1,100
1,311,21,21,1,1,100
1,299,33,33,1,1,100
1,221,47,111,1,1,100
1,269,31,65,1,1,100
1,289,45,45,1,1,100
1,144,31,191,1,1,100
1,319,3,16,1,1,100
1,328,8,9,1,1,100
1,305,34,34,1,1,100
1,255,16,84,1,1,100
1,317,26,26,1,1,100
1,300,45,45,1,1,100
1,333,14,14,1,1,100
1,337,10,10,1,1,100
1,306,45,45,1,1,100
1,309,38,43,1,1,100
1,166,18,187,1,1,100
1,287,42,66,1,1,100
1,285,44,69,1,1,100
1,353,1,1,1,1,100
1,200,2,155,1,1,100
1,325,32,32,1,1,100
1,320,38,38,1,1,100
1,243,49,116,1,1,100
1,213,5,147,1,1,100
1,327,33,33,1,1,100
1,322,7,39,1,1,100
1,318,41,46,1,1,100
1,233,50,131,1,1,100
1,315,49,49,1,1,100
1,323,30,42,1,1,100
1,301,44,64,1,1,100
1,338,21,28,1,1,100
1,329,30,38,1,1,100
1,335,33,33,1,1,100
1,321,5,48,1,1,100
1,357,13,13,1,1,100
1,331,39,39,1,1,100
1,340,30,30,1,1,100
1,324,47,47,1,1,100
1,354,17,17,1,1,100
1,356,17,17,1,1,100
1,332,42,42,1,1,100
1,349,25,25,1,1,100
1,355,19,19,1,1,100
1,339,4,36,1,1,100
1,344,7,31,1,1,100
1,376,2,2,1,1,100
1,374,5,5,1,1,100
1,362,17,17,1,1,100
1,348,31,31,1,1,100
1,360,21,21,1,1,100
1,240,50,142,1,1,100
1,370,13,14,1,1,100
1,314,22,73,1,1,100
1,369,18,18,1,1,100
1,389,1,1,1,1,100
1,345,46,46,1,1,100
1,359,32,32,1,1,100
1,296,33,96,1,1,100
1,350,43,43,1,1,100
1,366,28,28,1,1,100
1,392,3,3,1,1,100
1,351,44,44,1,1,100
1,245,32,151,1,1,100
1,346,33,51,1,1,100
1,297,5,100,1,1,100
1,326,40,72,1,1,100
1,273,40,127,1,1,100
1,358,44,44,1,1,100
1,361,42,42,1,1,100
1,373,17,31,1,1,100
1,381,23,23,1,1,100
1,367,37,37,1,1,100
1,395,11,11,1,1,100
1,387,20,20,1,1,100
1,398,5,10,1,1,100
1,248,12,160,1,1,100
1,375,34,34,1,1,100
1,380,28,29,1,1,100
1,385,25,25,1,1,100
1,386,6,24,1,1,100
1,401,10,10,1,1,100
1,365,47,47,1,1,100
1,343,47,69,1,1,100
1,411,2,2,1,1,100
1,400,7,13,1,1,100
1,384,30,30,1,1,100
1,378,11,37,1,1,100
1,402,5,13,1,1,100
1,347,25,69,1,1,100
1,372,46,46,1,1,100
1,278,20,142,1,1,100
1,379,1,42,1,1,100
1,412,9,9,1,1,100
1,341,23,80,1,1,100
1,403,19,19,1,1,100
1,383,3,41,1,1,100
1,382,17,43,1,1,100
1,307,29,119,1,1,100
1,391,36,36,1,1,100
1,303,47,126,1,1,100
1,416,10,15,1,1,100
1,422,9,9,1,1,100
1,368,29,65,1,1,100
1,426,7,7,1,1,100
1,431,3,3,1,1,100
1,396,38,38,1,1,100
1,404,35,35,1,1,100
1,397,44,44,1,1,100
1,413,28,28,1,1,100
1,409,16,34,1,1,100
1,388,34,55,1,1,100
1,429,12,14,1,1,100
1,390,34,53,1,1,100
1,408,36,36,1,1,100
1,434,11,11,1,1,100
1,444,1,1,1,1,100
1,410,36,36,1,1,100
1,432,4,18,1,1,100
1,336,21,114,1,1,100
1,443,7,7,1,1,100
1,421,30,30,1,1,100
1,405,49,49,1,1,100
1,441,14,14,1,1,100
1,446,9,9,1,1,100
1,449,6,6,1,1,100
1,394,44,62,1,1,100
1,454,2,2,1,1,100
1,415,41,41,1,1,100
1,447,11,14,1,1,100
1,417,7,46,1,1,100
1,330,37,133,1,1,100
1,437,27,27,1,1,100
1,371,49,94,1,1,100
1,430,35,35,1,1,100
1,418,48,48,1,1,100
1,465,1,1,1,1,100
1,423,12,45,1,1,100
1,399,48,73,1,1,100
1,393,32,82,1,1,100
1,438,37,37,1,1,100
1,467,8,8,1,1,100
1,455,20,20,1,1,100
1,435,40,40,1,1,100
1,456,20,20,1,1,100
1,377,26,99,1,1,100
1,453,24,24,1,1,100
1,445,33,33,1,1,100
1,436,42,42,1,1,100
1,472,7,7,1,1,100
1,442,37,37,1,1,100
1,475,4,4,1,1,100
1,433,14,47,1,1,100
1,425,28,57,1,1,100
1,464,21,21,1,1,100
1,424,45,64,1,1,100
1,448,40,40,1,1,100
1,406,12,82,1,1,100
1,440,48,48,1,1,100
1,459,29,29,1,1,100
1,334,26,155,1,1,100
1,419,15,71,1,1,100
1,482,8,8,1,1,100
1,480,10,10,1,1,100
1,427,28,64,1,1,100
1,487,6,6,1,1,100
1,439,25,54,1,1,100
1,458,3,36,1,1,100
1,452,39,42,1,1,100
1,466,32,32,1,1,100
1,460,39,39,1,1,100
1,342,11,158,1,1,100
1,497,5,5,1,1,100
1,488,15,15,1,1,100
1,489,14,14,1,1,100
1,352,4,152,1,1,100
1,470,34,34,1,1,100
1,468,37,37,1,1,100
1,481,26,26,1,1,100
1,471,20,37,1,1,100
1,505,5,5,1,1,100
1,506,4,4,1,1,100
1,450,37,62,1,1,100
1,503,9,9,1,1,100
1,474,39,39,1,1,100
1,469,44,44,1,1,100
1,476,40,40,1,1,100
1,479,39,39,1,1,100
1,501,18,18,1,1,100
1,490,7,30,1,1,100
1,462,45,58,1,1,100
1,517,2,4,1,1,100
1,420,32,102,1,1,100
1,514,8,8,1,1,100
1,519,3,3,1,1,100
1,515,8,8,1,1,100
1,495,29,29,1,1,100
1,511,13,13,1,1,100
1,477,49,49,1,1,100
1,478,48,48,1,1,100
1,451,15,76,1,1,100
1,486,41,41,1,1,100
1,518,11,11,1,1,100
1,520,10,10,1,1,100
1,494,37,37,1,1,100
1,526,5,5,1,1,100
1,473,48,60,1,1,100
1,502,34,34,1,1,100
1,530,6,6,1,1,100
1,510,27,27,1,1,100
1,524,13,14,1,1,100
1,363,35,176,1,1,100
1,493,46,46,1,1,100
1,512,4,27,1,1,100
1,538,1,1,1,1,100
1,491,49,49,1,1,100
1,428,19,113,1,1,100
1,492,50,50,1,1,100
1,496,35,47,1,1,100
1,463,50,81,1,1,100
1,516,27,27,1,1,100
1,498,4,46,1,1,100
1,485,46,60,1,1,100
1,507,38,38,1,1,100
1,509,37,37,1,1,100
1,527,19,19,1,1,100
1,544,2,2,1,1,100
1,534,14,14,1,1,100
1,522,27,27,1,1,100
1,542,8,8,1,1,100
1,529,22,22,1,1,100
1,535,17,17,1,1,100
1,364,15,190,1,1,100
1,407,3,150,1,1,100
1,551,5,5,1,1,100
1,546,6,11,1,1,100
1,536,22,22,1,1,100
1,531,27,27,1,1,100
1,504,47,55,1,1,100
1,521,42,42,1,1,100
1,547,17,17,1,1,100
1,559,6,6,1,1,100
1,565,2,2,1,1,100
1,484,29,86,1,1,100
1,539,30,30,1,1,100
1,558,7,13,1,1,100
1,533,39,39,1,1,100
1,557,18,18,1,1,100
1,508,45,67,1,1,100
1,528,48,48,1,1,100
1,575,2,2,1,1,100
1,550,27,27,1,1,100
1,577,1,1,1,1,100
1,525,49,53,1,1,100
1,549,22,29,1,1,100
1,568,12,12,1,1,100
1,532,49,49,1,1,100
1,548,12,33,1,1,100
1,500,39,83,1,1,100
1,566,18,18,1,1,100
1,540,45,45,1,1,100
1,574,12,12,1,1,100
1,569,9,17,1,1,100
1,537,49,49,1,1,100
1,553,37,37,1,1,100
1,564,24,24,1,1,100
1,581,5,10,1,1,100
1,578,13,13,1,1,100
1,573,17,19,1,1,100
1,570,23,23,1,1,100
1,414,37,180,1,1,100
1,593,1,1,1,1,100
1,582,5,13,1,1,100
1,562,33,33,1,1,100
1,560,36,36,1,1,100
1,598,1,1,1,1,100
1,571,28,28,1,1,100
1,589,9,9,1,1,100
1,561,39,39,1,1,100
1,554,45,47,1,1,100
1,590,12,14,1,1,100
1,541,48,65,1,1,100
1,513,31,93,1,1,100
1,592,15,15,1,1,100
1,567,40,40,1,1,100
1,585,22,22,1,1,100
1,545,50,63,1,1,100
1,587,22,22,1,1,100
1,576,34,34,1,1,100
1,591,19,19,1,1,100
1,583,15,28,1,1,100
1,606,6,6,1,1,100
1,608,5,5,1,1,100
1,543,9,72,1,1,100
1,580,36,36,1,1,100
1,605,15,15,1,1,100
1,579,42,42,1,1,100
1,603,18,18,1,1,100
1,457,31,168,1,1,100
1,594,31,31,1,1,100
1,555,47,71,1,1,100
1,602,26,26,1,1,100
1,611,19,19,1,1,100
1,588,42,42,1,1,100
1,601,1,32,1,1,100
1,613,20,20,1,1,100
1,552,19,82,1,1,100
1,461,10,174,1,1,100
1,610,26,26,1,1,100
1,584,47,54,1,1,100
1,586,33,54,1,1,100
1,600,43,43,1,1,100
1,617,27,27,1,1,100
1,556,10,88,1,1,100
1,622,23,23,1,1,100
1,572,46,73,1,1,100
1,596,49,49,1,1,100
1,599,46,46,1,1,100
1,620,26,26,1,1,100
1,604,42,42,1,1,100
1,619,10,29,1,1,100
1,639,11,11,1,1,100
1,634,18,18,1,1,100
1,641,11,11,1,1,100
1,629,20,24,1,1,100
1,612,42,42,1,1,100
1,628,26,26,1,1,100
1,652,5,5,1,1,100
1,614,43,43,1,1,100
1,632,27,27,1,1,100
1,563,33,96,1,1,100
1,623,11,36,1,1,100
1,643,19,19,1,1,100
1,646,17,17,1,1,100
1,621,47,47,1,1,100
1,658,10,10,1,1,100
1,625,40,45,1,1,100
1,636,34,34,1,1,100
1,631,39,39,1,1,100
1,653,18,18,1,1,100
1,633,17,38,1,1,100
1,654,18,18,1,1,100
1,663,9,9,1,1,100
1,609,32,63,1,1,100
1,483,40,192,1,1,100
1,624,50,50,1,1,100
1,607,31,68,1,1,100
1,656,21,21,1,1,100
1,640,7,37,1,1,100
1,638,40,40,1,1,100
1,626,19,52,1,1,100
1,670,8,8,1,1,100
1,642,34,38,1,1,100
1,651,28,29,1,1,100
1,645,11,37,1,1,100
1,618,40,65,1,1,100
1,637,29,51,1,1,100
1,648,40,40,1,1,100
1,661,28,28,1,1,100
1,644,45,45,1,1,100
1,681,3,10,1,1,100
1,616,47,76,1,1,100
1,667,25,25,1,1,100
1,647,46,46,1,1,100
1,666,21,27,1,1,100
1,649,42,44,1,1,100
1,615,22,79,1,1,100
1,690,6,6,1,1,100
1,659,37,37,1,1,100
1,499,25,201,1,1,100
1,685,15,15,1,1,100
1,635,49,67,1,1,100
1,664,38,38,1,1,100
1,668,34,34,1,1,100
1,523,3,179,1,1,100
1,660,10,43,1,1,100
1,657,46,46,1,1,100
1,692,12,12,1,1,100
1,678,31,31,1,1,100
1,676,34,34,1,1,100
1,669,30,41,1,1,100
1,687,24,24,1,1,100
1,679,33,33,1,1,100
1,650,34,64,1,1,100
1,715,2,2,1,1,100
1,702,15,15,1,1,100
1,703,15,15,1,1,100
1,673,44,44,1,1,100
1,677,40,40,1,1,100
1,711,8,8,1,1,100
1,698,21,21,1,1,100
1,665,26,55,1,1,100
1,688,33,33,1,1,100
1,680,41,41,1,1,100
1,683,38,38,1,1,100
1,662,32,59,1,1,100
1,655,21,68,1,1,100
1,704,20,20,1,1,100
1,675,21,49,1,1,100
